,Corrected_residue,Rg_u,Source
Ubiquitin,76.20531129,26.3,https://www.ncbi.nlm.nih.gov/pubmed/10211833
Cytochrome c,110.9649398,32.1,https://www.ncbi.nlm.nih.gov/pubmed/10211833
Ribonuclease A,123.072019,27.3,https://www.ncbi.nlm.nih.gov/pubmed/10211833
Lysozyme,128.7195175,28.7,https://www.ncbi.nlm.nih.gov/pubmed/10211833
a-Lactalbumin,123.2901762,30,https://www.ncbi.nlm.nih.gov/pubmed/10211833
Apomyoglobin,150.272764,34.2,https://www.ncbi.nlm.nih.gov/pubmed/10211833
b-Lactoglobulin,162.0422719,44.4,https://www.ncbi.nlm.nih.gov/pubmed/10211833
SSI,113.0498402,32,https://www.ncbi.nlm.nih.gov/pubmed/10211833
GroEL,549,82,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
yPGK,416,71,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
Creatine kinase,380,46,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
_-TS,268,48.8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
Carbonic anhydrase,260,59,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
OspA,257,49.3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
DHFR,167,44,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
Apomyoglobin,154,40,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
Snase,149,37.2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
"Lysozyme, reduced",129,35.8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
CheY,129,38,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
"RNase A, reduced",124,33.2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
pI3K SH2,112,29.6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
pI3K SH3,103,30.9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
mAcP,98,30.4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
ctACP,98,30.5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
Protein L,79,26,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
Fyn SH3,78,25.7,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
Ubiquitin,76,25.2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
GCN4-p2_,66,24.1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
drK SH3,59,21.9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
Protein G,52,23,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
N-terminal cytochrome c,39,18.4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
AK-37,37,16.9,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
AK-32,32,14.5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
AK-27,27,12.8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
AK-16,16,9.8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
Angiotensin,8,9.1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC515087/
PDB 2GB1,56,23,https://www.pnas.org/content/101/34/12497/
PDB 1FU6,111,30.3,https://www.pnas.org/content/101/34/12497/
PDB 1EHC,128,38,https://www.pnas.org/content/101/34/12497/
PDB 2SNS,141,37.2,https://www.pnas.org/content/101/34/12497/
PDB 1MBO,153,40,https://www.pnas.org/content/101/34/12497/
PDB 1AI9,192,44,https://www.pnas.org/content/101/34/12497/
PDB 1QK1,379,46.1,https://www.pnas.org/content/101/34/12497/
PDB 3PGK,415,71,https://www.pnas.org/content/101/34/12497/
